City,HurricaneName,SizeRank,before,after,percent,increase
Zolfo Springs,charley,9817,214236.2091,260470.5138,21.580994592010814,0
Highland Beach,charley,9845,816053.8387,961597.8478,17.835098886595073,0
Kenneth City,charley,9853,169315.4044,199453.2791,17.799842138876297,0
Madeira Beach,charley,9944,527282.4983,653654.8558,23.966727116381524,1
Ponce de Leon,charley,10025,169442.0768,194396.7259,14.727539682752507,0
Enterprise,charley,10232,288675.4698,326642.2644,13.152068177564272,0
Royal Palm Estates,charley,10310,219691.4377,272501.6577,24.038360599248776,1
Parker,charley,10473,178362.1567,217121.6573,21.730787133950372,0
Eagle Lake,charley,10489,161247.3095,183641.1254,13.887869490312324,0
Branford,charley,10592,174025.4518,221156.9712,27.08311853956065,1
Lake Belvedere Estates,charley,10658,266729.5802,321492.209,20.531141974931185,0
Lake Clarke Shores,charley,10729,379437.1327,464006.9215,22.28822155549669,1
Astatula,charley,10734,230232.2,279572.3581,21.430607056701888,0
Oakland,charley,10858,370205.2075,429699.2127,16.070547900112928,0
Bay Hill,charley,10871,698595.227,807928.7429,15.650481376678515,0
Mc David,charley,10871,193587.3971,206546.9366,6.69441280483025,0
Holden Heights,charley,11030,262918.499,298408.1314,13.49833980301249,0
Montverde,charley,11130,315180.6544,373250.8245,18.424408125729176,0
Oak Hill,charley,11208,237685.3087,286707.7805,20.62494820067943,0
Harbor Bluffs,charley,11659,601532.9286,718433.8352,19.433833301873207,0
Biscayne Park,charley,11737,511522.8027,614814.9938,20.193076546106447,0
Bokeelia,charley,11765,364182.9988,435081.2454,19.46775297957704,0
Center Hill,charley,11796,249999.132,289670.7576,15.868705336144926,0
Bal Harbour,charley,11812,1710881.12,2108374.248,23.233240659058765,1
Greenville,charley,11912,180645.8561,212570.5616,17.672536857046666,0
Cross City,charley,11954,98118.0009,119490.9972,21.782951246410892,0
Indian Rocks Beach,charley,12088,637135.055,773440.7771,21.39353674394825,0
Lakeside Green,charley,12154,196131.2004,231268.9286,17.91541994763624,0
Astor,charley,12161,249164.365,293952.7865,17.975452268224632,0
Altoona,charley,12171,206192.4022,246239.9089,19.422396884030285,0
Malabar,charley,12197,377360.4363,508138.909,34.65611657180501,1
Longboat Key,charley,12265,1033952.415,1212576.705,17.275871443271402,0
Edgewood,charley,12298,387378.7711,449914.9024,16.1434069095791,0
White Springs,charley,12387,178540.2393,216656.92,21.349070018861585,0
Ridge Manor,charley,12782,170391.0662,198718.2491,16.624805238761976,0
Paisley,charley,12800,154574.0343,177875.0774,15.074357867102659,0
Zellwood,charley,12828,178871.8006,201822.225,12.830655431999952,0
Campbell,charley,12844,196141.1865,236498.4058,20.575596599646346,0
Apalachicola,charley,12877,221794.3003,275297.2698,24.122788289704307,1
Placida,charley,12896,461843.3374,530226.3082,14.806529674103283,0
Haverhill,charley,13166,257409.4341,315275.198,22.480047828208157,1
Roosevelt Gardens,charley,13289,208238.649,246689.4317,18.464767652233462,0
Highland City,charley,13370,164505.3595,181418.6878,10.281323569886503,0
Hypoluxo,charley,13526,315707.4253,375927.3674,19.074604293128733,0
Virginia Gardens,charley,13546,405794.492,488239.9259,20.31704114406756,0
Waldo,charley,13720,205368.5839,251078.5755,22.257538486148178,1
Tierra Verde,charley,13838,820730.6321,968142.9991,17.96111430894404,0
Mascotte,charley,13881,161657.91,187610.5886,16.05407282575903,0
Washington Park,charley,13884,187116.7043,220532.7361,17.858390529594207,0
Hillsboro Beach,charley,14217,604234.1659,743685.6468,23.079045967599093,1
Belleair Bluffs,charley,14619,278934.321,331250.7675,18.755829799804385,0
Daytona Beach Shores,charley,14765,386503.585,471922.567,22.10043717964478,1
Asbury Lake,charley,14855,323807.9066,387201.9416,19.577667409557947,0
Schall Circle,charley,14924,178707.8821,220791.4379,23.548796676159593,1
